id,key,value,type
29546940,importance,national,regular
29546940,is_in,"King County, Washington, WA",regular
29546940,continent,North America,is_in
29546940,country,United States,is_in
29546940,country_code,US,is_in
29546940,br,Seattle,lang
29546940,name,Seattle,regular
29546940,af,Seattle,name
29546940,am,ስያትል,name
29546940,ar,سياتيل، واشنطن,name
29546940,bg,Сиатъл,name
29546940,bs,Seattle,name
29546940,eo,Seatlo,name
29546940,fr,Seattle,name
29546940,ja,シアトル,name
29546940,kn,ಸಿಯಾಟಲ್,name
29546940,ko,시애틀,name
29546940,la,Seattlum,name
29546940,lt,Sietlas,name
29546940,lv,Sietla,name
29546940,ru,Сиэтл,name
29546940,tt,Сиэтл,name
29546940,ug,Séatl,name
29546940,uk,Сієтл,name
29546940,uz,Sietl,name
29546940,zh,西雅圖,name
29546940,zh-min-nan,Seattle,name
29546940,place,city,regular
29546940,population,684451,regular
29546940,population,http://www.census.gov/,source
29546940,website,http://seattle.gov,regular
29546940,wikidata,Q5083,regular
29546940,wikipedia,en:Seattle,regular
29978286,highway,motorway_junction,regular
29978286,ref,167,regular
29978294,highway,motorway_junction,regular
29978294,ref,168A,regular
30078988,highway,motorway_junction,regular
30078988,ref,167,regular
30079048,highway,motorway_junction,regular
30079048,ref,166,regular
30079057,highway,traffic_signals,regular
30230266,highway,motorway_junction,regular
30230266,ref,164,regular
30230266,source,bing;survey,regular
30279458,highway,motorway_junction,regular
30279458,ref,165,regular
30279697,crossing,traffic_signals,regular
30279697,highway,traffic_signals,regular
30343782,monorail,yes,regular
30343782,name,Seattle Center,regular
30343782,public_transport,stop_position,regular
30343821,monorail,yes,regular
30343821,name,Seattle Center,regular
30343821,public_transport,stop_position,regular
30343847,railway,buffer_stop,regular
30343850,crossing,traffic_signals,regular
30343850,highway,traffic_signals,regular
30343857,crossing,traffic_signals,regular
30343857,highway,traffic_signals,regular
30345009,highway,traffic_signals,regular
30345012,highway,traffic_signals,regular
30345078,highway,traffic_signals,regular
30345319,highway,traffic_signals,regular
30345366,highway,motorway_junction,regular
30345366,ref,166,regular
30345425,highway,traffic_signals,regular
30345462,crossing,traffic_signals,regular
30345462,highway,traffic_signals,regular
30472076,source,PGS,regular
30472796,created_by,almien_coastlines,regular
30472796,source,PGS,regular
30473736,source,PGS,regular
30474306,source,PGS,regular
30475117,source,PGS,regular
30475406,source,PGS,regular
