id,key,value,type
53040209,traffic_calming,island,regular
53062785,crossing,traffic_signals,regular
53062785,highway,traffic_signals,regular
53062787,crossing,traffic_signals,regular
53062787,highway,traffic_signals,regular
53062792,crossing,traffic_signals,regular
53062792,highway,traffic_signals,regular
53062801,crossing,traffic_signals,regular
53062801,highway,traffic_signals,regular
53062839,highway,turning_circle,regular
53068790,crossing,traffic_signals,regular
53068790,highway,traffic_signals,regular
53068795,crossing,traffic_signals,regular
53068795,highway,traffic_signals,regular
53068929,traffic_calming,island,regular
53068930,traffic_calming,island,regular
53068938,traffic_calming,island,regular
53068959,crossing,traffic_signals,regular
53068959,highway,traffic_signals,regular
53068963,highway,traffic_signals,regular
53070534,highway,traffic_signals,regular
53072283,highway,traffic_signals,regular
53073248,crossing,traffic_signals,regular
53073248,highway,traffic_signals,regular
53073251,crossing,traffic_signals,regular
53073251,highway,traffic_signals,regular
53073253,crossing,traffic_signals,regular
53073253,highway,traffic_signals,regular
53073254,crossing,traffic_signals,regular
53073254,highway,traffic_signals,regular
53073255,crossing,traffic_signals,regular
53073255,highway,traffic_signals,regular
53073260,crossing,traffic_signals,regular
53073260,highway,traffic_signals,regular
53077605,traffic_calming,island,regular
53077622,traffic_calming,island,regular
53078427,traffic_calming,island,regular
53079302,traffic_calming,island,regular
53079304,traffic_calming,island,regular
53079313,crossing,traffic_signals,regular
53079313,highway,traffic_signals,regular
53079318,highway,stop,regular
53086804,traffic_calming,island,regular
53098435,traffic_calming,island,regular
53098437,traffic_calming,island,regular
53100535,traffic_calming,island,regular
53100536,traffic_calming,island,regular
53100540,traffic_calming,island,regular
53100542,traffic_calming,island,regular
53103977,highway,stop,regular
53107165,traffic_calming,island,regular
53107168,traffic_calming,island,regular
53107176,highway,stop,regular
53107180,crossing,traffic_signals,regular
53107180,highway,traffic_signals,regular
53108484,highway,traffic_signals,regular
53110497,traffic_calming,island,regular
53110648,traffic_calming,island,regular
53118269,traffic_calming,island,regular
53118272,traffic_calming,island,regular
53125305,traffic_calming,island,regular
53125306,traffic_calming,island,regular
53125307,traffic_calming,island,regular
53125323,traffic_calming,island,regular
53125329,traffic_calming,island,regular
53125334,crossing,traffic_signals,regular
53125334,highway,traffic_signals,regular
53126072,highway,stop,regular
53126091,highway,stop,regular
53128059,traffic_calming,island,regular
53128060,traffic_calming,island,regular
53128443,traffic_calming,island,regular
53128450,traffic_calming,island,regular
53128459,traffic_calming,island,regular
53128464,traffic_calming,island,regular
