id,key,value,type
4704947,bicycle,designated,regular
4704947,cycleway,track,regular
4704947,highway,cycleway,regular
4704947,lcn,yes,regular
4704947,lit,no,regular
4704947,name,Elliott Bay Trail,regular
4704947,oneway,no,regular
4704947,segregated,no,regular
4704947,source,"survey, imagery",regular
4704947,surface,asphalt,regular
4722441,bicycle,no,regular
4722441,bridge,yes,regular
4722441,destination,Mercer Street;Seattle Center,regular
4722441,highway,motorway_link,regular
4722441,lanes,1,regular
4722441,layer,1,regular
4722441,oneway,yes,regular
4722443,bicycle,no,regular
4722443,bridge,yes,regular
4722443,destination,Stewart Street;Denny Way,regular
4722443,highway,motorway_link,regular
4722443,lanes,1,regular
4722443,layer,1,regular
4722443,oneway,yes,regular
4748960,bicycle,no,regular
4748960,hgv,designated,regular
4748960,highway,motorway,regular
4748960,lanes,4,regular
4748960,maxspeed,60 mph,regular
4748960,oneway,yes,regular
4748960,ref,I 5,regular
4748962,bicycle,no,regular
4748962,hgv,designated,regular
4748962,highway,motorway,regular
4748962,lanes,3,regular
4748962,maxspeed,60 mph,regular
4748962,oneway,yes,regular
4748962,ref,I 5,regular
4748963,bicycle,no,regular
4748963,hgv,designated,regular
4748963,highway,motorway,regular
4748963,lanes,3,regular
4748963,layer,-1,regular
4748963,maxspeed,60 mph,regular
4748963,oneway,yes,regular
4748963,ref,I 5,regular
4748963,tunnel,yes,regular
4748969,bicycle,no,regular
4748969,bridge,yes,regular
4748969,destination,Seneca Street,regular
4748969,highway,motorway_link,regular
4748969,lanes,1,regular
4748969,layer,1,regular
4748969,oneway,yes,regular
4748972,bicycle,no,regular
4748972,hgv,designated,regular
4748972,highway,motorway,regular
4748972,lanes,3,regular
4748972,maxspeed,60 mph,regular
4748972,oneway,yes,regular
4748972,ref,I 5,regular
4748973,bicycle,no,regular
4748973,bridge,yes,regular
4748973,hgv,designated,regular
4748973,highway,motorway,regular
4748973,lanes,2,regular
4748973,layer,1,regular
4748973,maxspeed,60 mph,regular
4748973,oneway,yes,regular
4748973,ref,I 5,regular
4748974,bicycle,no,regular
4748974,description,Express lanes,regular
4748974,highway,motorway,regular
4748974,lanes,1,regular
4748974,maxspeed,60 mph,regular
4748974,oneway,yes,regular
4748974,ref,I 5 Express,regular
4748976,bicycle,no,regular
4748976,description,Express lanes,regular
4748976,highway,motorway,regular
4748976,lanes,1,regular
4748976,maxspeed,60 mph,regular
4748976,oneway,yes,regular
4748976,ref,I 5 Express,regular
4749024,highway,motorway,regular
4749024,lanes,2,regular
4749024,layer,-1,regular
4749024,maxheight,4.267,regular
4749024,maxspeed,40 mph,regular
4749024,name,Battery Street Tunnel,regular
4749024,old_ref,US 99;PSH 1,regular
4749024,oneway,yes,regular
4749024,ref,WA 99,regular
4749024,tunnel,yes,regular
4749024,tunnel_name,Battery Street Tunnel,regular
4755053,bicycle,no,regular
4755053,foot,no,regular
4755053,highway,motorway,regular
4755053,lanes,2,regular
4755053,layer,-1,regular
4755053,maxheight,4.267,regular
4755053,maxspeed,40 mph,regular
4755053,name,Battery Street Tunnel,regular
4755053,old_ref,US 99; PSH 1,regular
4755053,oneway,yes,regular
4755053,ref,WA 99,regular
4755053,tunnel,yes,regular
4755053,tunnel_name,Battery Street Tunnel,regular
4755065,bridge,yes,regular
4755065,layer,2,regular
4755065,name,Seattle Center Monorail,regular
4755065,railway,monorail,regular
4755065,usage,main,regular
4755065,wikipedia,en:Seattle Center Monorail,regular
4755066,feature_id,1531909,gnis
4755066,leisure,park,regular
4755066,name,Seattle Center,regular
4755066,tourism,attraction,regular
4755066,website,http://www.seattlecenter.com/,regular
4755066,wikipedia,en:Seattle Center,regular
4755077,highway,motorway,regular
4755077,lanes,2,regular
4755077,maxspeed,40 mph,regular
4755077,name,Alaskan Way Viaduct,regular
4755077,old_ref,US 99;PSH 1,regular
4755077,oneway,yes,regular
4755077,ref,WA 99,regular
4755077,viaduct,yes,regular
4755100,destination,Denny Way;Downtown,regular
4755100,highway,trunk_link,regular
4755100,lanes,1,regular
4755100,maxspeed,30 mph,regular
4755100,name,Aurora Avenue North,regular
4755100,old_ref,US 10;US 99 Business (old US 99;PSH 1),regular
4755100,oneway,yes,regular
4755200,amenity,parking,regular
4755200,parking,surface,regular
4755208,bicycle,no,regular
4755208,highway,motorway_link,regular
4755208,lanes,1,regular
4755208,oneway,yes,regular
4755209,bicycle,no,regular
4755209,highway,motorway_link,regular
4755209,lanes,designated|,hov
4755209,minimum,2,hov
4755209,lanes,2,regular
4755209,oneway,yes,regular
4755219,bicycle,no,regular
4755219,highway,motorway_link,regular
4755219,lanes,1,regular
4755219,oneway,yes,regular
4755231,access,no,regular
4755231,bridge,yes,regular
4755231,bus,yes,regular
4755231,highway,service,regular
4755231,lanes,1,regular
4755231,layer,1,regular
4755231,oneway,yes,regular
4755231,service,driveway,regular
4755233,access,no,regular
4755233,bridge,yes,regular
4755233,bus,yes,regular
4755233,highway,service,regular
4755233,lanes,1,regular
4755233,layer,1,regular
4755233,oneway,yes,regular
4755233,service,driveway,regular
4755237,access,no,regular
4755237,bicycle,no,regular
4755237,bus,yes,regular
4755237,cutting,yes,regular
4755237,highway,motorway_link,regular
4755237,lanes,1,regular
4755237,oneway,reversible,regular
4755239,bicycle,no,regular
4755239,bus,designated,regular
4755239,highway,motorway_link,regular
4755239,lanes:forward,designated,hov
4755239,minimum,2,hov
4755239,lanes,1,regular
4755239,motorcycle,yes,regular
4755239,oneway,reversible,regular
4755244,bicycle,no,regular
4755244,highway,motorway_link,regular
4755244,lanes:forward,designated,hov
4755244,minimum,2,hov
4755244,lanes,1,regular
4755244,layer,-1,regular
4755244,motorcycle,yes,regular
4755244,oneway,reversible,regular
4755244,tunnel,yes,regular
4755249,bicycle,no,regular
4755249,highway,motorway_link,regular
4755249,lanes,1,regular
4755249,oneway,yes,regular
4755256,bicycle,no,regular
4755256,description,Express lanes,regular
4755256,highway,motorway,regular
4755256,lanes,4,regular
4755256,maxspeed,60 mph,regular
4755256,oneway,reversible,regular
4755256,ref,I 5 Express,regular
4759238,bicycle,no,regular
4759238,description,Express lanes,regular
4759238,highway,motorway,regular
4759238,lanes,1,regular
4759238,maxspeed,60 mph,regular
4759238,oneway,reversible,regular
4759238,ref,I 5 Express,regular
4794449,highway,trunk_link,regular
4794449,lanes,2,regular
4794449,name,Aurora Avenue North,regular
4794449,old_ref,US 10;US 99 Business (old US 99;PSH 1),regular
4794449,oneway,yes,regular
4798461,source,PGS,regular
4798549,bicycle,no,regular
4798549,foot,no,regular
4798549,highway,motorway,regular
4798549,lanes,2,regular
4798549,maxspeed,40 mph,regular
4798549,name,Aurora Avenue North,regular
4798549,old_ref,US 99;PSH 1,regular
4798549,oneway,yes,regular
4798549,ref,WA 99,regular
4809907,bridge,yes,regular
4809907,highway,motorway_link,regular
4809907,lanes,1,regular
4809907,layer,2,regular
4809907,oneway,yes,regular
4809908,highway,motorway_link,regular
4809908,lanes,1,regular
4809908,oneway,yes,regular
4809908,sidewalk,no,regular
4848632,bicycle,no,regular
4848632,highway,motorway_link,regular
4848632,lanes,2,regular
4848632,oneway,reversible,regular
4848633,bicycle,no,regular
4848633,forward,Stewart Street,destination
4848633,highway,motorway_link,regular
4848633,lanes,2,regular
4848633,layer,-1,regular
4848633,oneway,reversible,regular
4856864,bridge,viaduct,regular
4856864,highway,motorway,regular
4856864,lanes,3,regular
4856864,layer,2,regular
4856864,maxspeed,40 mph,regular
4856864,name,Alaskan Way Viaduct,regular
4856864,old_ref,US 99;PSH 1,regular
4856864,oneway,yes,regular
4856864,ref,WA 99,regular
4964042,natural,coastline,regular
4964042,source,PGS & Bing,regular
5130429,bicycle,no,regular
5130429,hgv,designated,regular
5130429,highway,motorway,regular
5130429,lanes,designated|||||,hov
5130429,minimum,2,hov
5130429,lanes,6,regular
5130429,maxspeed,60 mph,regular
5130429,oneway,yes,regular
5130429,ref,I 5,regular
5491729,source,Yahoo aerial imagery,regular
5491732,source,PGS,regular
5491733,source,PGS,regular
5919117,bicycle,yes,regular
5919117,duration,01:00,regular
5919117,foot,yes,regular
5919117,motorcar,yes,regular
5919117,name,Seattle-Bremerton Ferry,regular
5919117,operator,Washington State Ferries,regular
5919117,ref,WA 304,regular
5919117,route,ferry,regular
5919117,cfcc,A65,tiger
6323684,access,yes,regular
6323684,bicycle,yes,regular
6323684,foot,yes,regular
6323684,highway,residential,regular
6323684,lanes,2,regular
6323684,maxspeed,25 mph,regular
6323684,name,East Mercer Street,regular
6323684,note,"Neighbors are encroaching on this right-of-way, so it cannot be considered open.",regular
6323684,cfcc,A41,tiger
6323684,county,"King, WA",tiger
6323684,name_base,Mercer,tiger
6323684,name_direction_prefix,E,tiger
6323684,name_type,St,tiger
6323684,reviewed,no,tiger
6323684,zip_left,98112,tiger
6323684,zip_right,98112,tiger
6323849,bicycle,designated,regular
6323849,cycleway,shared_lane,regular
6323849,highway,tertiary,regular
6323849,lanes,2,regular
6323849,maxspeed,30 mph,regular
6323849,name,East Aloha Street,regular
6323849,cfcc,A41,tiger
6323849,county,"King, WA",tiger
6323849,name_base,Aloha,tiger
6323849,name_direction_prefix,E,tiger
6323849,name_type,St,tiger
6323849,reviewed,no,tiger
6323849,zip_left,98102; 98112,tiger
6323849,zip_right,98102; 98112,tiger
6324947,highway,unclassified,regular
6324947,lanes,2,regular
6324947,maxspeed,25 mph,regular
6324947,name,6th Avenue North,regular
6324947,county,"King, WA",tiger
6324947,name_base,6th,tiger
6324947,name_direction_suffix,N,tiger
6324947,name_type,Ave,tiger
6324947,reviewed,yes,tiger
6324947,zip_left,98109,tiger
6324947,zip_right,98109,tiger
6325234,highway,service,regular
6325234,service,driveway,regular
6325234,cfcc,A74,tiger
6325234,county,"King, WA",tiger
6325234,reviewed,yes,tiger
6325598,foot,no,regular
6325598,highway,primary,regular
6325598,lanes,2,regular
6325598,maxspeed,15 mph,regular
6325598,name,Colman Dock,regular
6325598,oneway,yes,regular
6325598,ref,WA 304;WA 305,regular
6325598,sidewalk,none,regular
6325598,cfcc,A74,tiger
6325598,county,"King, WA",tiger
6327282,highway,steps,regular
6327282,name,Galer Street,regular
6327282,cfcc,A72,tiger
6327282,county,"King, WA",tiger
6327309,bridge,yes,regular
6327309,highway,footway,regular
6327309,layer,1,regular
6327309,name,Bell Street,regular
6327309,cfcc,A71,tiger
6327309,county,"King, WA",tiger
6328729,highway,service,regular
6328729,cfcc,A41,tiger
6328729,county,"King, WA",tiger
6328897,alt_name,Republican Hill Climb,regular
6328897,highway,footway,regular
6328897,name,East Republican Street,regular
6328897,cfcc,A72,tiger
6328897,county,"King, WA",tiger
6328897,reviewed,yes,tiger
6328899,highway,steps,regular
6328899,name,East Harrison Street,regular
6328899,cfcc,A72,tiger
6328899,county,"King, WA",tiger
6328899,reviewed,yes,tiger
6328900,highway,service,regular
6328900,lanes,1,regular
6328900,maxspeed,15 mph,regular
6328900,service,alley,regular
6332135,highway,service,regular
6332135,lanes,2,regular
6332135,name,Lenora Street,regular
6332135,service,driveway,regular
6332135,cfcc,A71,tiger
6332135,county,"King, WA",tiger
6335955,highway,service,regular
6335955,lanes,1,regular
6335955,maxspeed,15 mph,regular
6335955,name,Woodrow Place East,regular
6335955,service,alley,regular
6335955,cfcc,A41,tiger
6335955,county,"King, WA",tiger
6335955,name_base,Woodrow,tiger
6335955,name_direction_suffix,E,tiger
6335955,name_type,Pl,tiger
6335955,reviewed,no,tiger
6335955,zip_left,98112,tiger
6335955,zip_right,98112,tiger
6335965,access,private,regular
6335965,highway,service,regular
6335965,service,driveway,regular
6335965,cfcc,A41,tiger
6335965,county,"King, WA",tiger
