id,user,uid,version,changeset,timestamp
6341064,shvrm,2306749,12,41004501,2016-07-25T07:17:51Z
6341066,sctrojan79,2601744,11,36766652,2016-01-23T22:01:25Z
6341099,sctrojan79,2601744,8,36990603,2016-02-04T06:19:58Z
6343890,sctrojan79,2601744,8,41439075,2016-08-14T02:01:21Z
6343949,SierraSoleil,1870349,15,48542950,2017-05-09T20:38:44Z
6343952,sctrojan79,2601744,16,36766652,2016-01-23T22:01:44Z
6343960,sctrojan79,2601744,7,36766652,2016-01-23T22:01:45Z
6346524,sctrojan79,2601744,10,36766652,2016-01-23T21:59:45Z
6346526,d6e,4149387,9,48775986,2017-05-18T01:20:49Z
6349048,sctrojan79,2601744,7,36766652,2016-01-23T22:01:41Z
6349123,sctrojan79,2601744,8,36766652,2016-01-23T22:01:05Z
6358498,sctrojan79,2601744,10,48631898,2017-05-12T18:46:06Z
6358524,Ballard OpenStreetMap,2814663,10,38072117,2016-03-25T21:30:15Z
6360256,Postureduck,1425153,9,48543689,2017-05-09T21:05:02Z
6366765,Ballard OpenStreetMap,2814663,19,44293993,2016-12-09T22:53:18Z
6367347,sctrojan79-import,2606959,13,42314210,2016-09-21T05:16:44Z
6368665,sctrojan79,2601744,14,36865766,2016-01-28T21:15:48Z
6374789,sctrojan79,2601744,9,36865766,2016-01-28T21:14:48Z
6375875,sctrojan79,2601744,18,36990603,2016-02-04T06:20:24Z
6380913,nvk,131996,14,46969092,2017-03-18T23:44:40Z
6381494,d6e,4149387,13,48541161,2017-05-09T19:32:28Z
6383185,sctrojan79,2601744,22,36766652,2016-01-23T22:00:11Z
6383525,Johnny Mapperseed,1723055,16,40972236,2016-07-23T13:58:28Z
6384350,sctrojan79,2601744,23,39695771,2016-05-31T19:11:41Z
6384359,d6e,4149387,16,48775986,2017-05-18T01:21:46Z
6384373,sctrojan79,2601744,10,36766652,2016-01-23T22:01:54Z
6384942,sctrojan79,2601744,12,36865766,2016-01-28T21:15:53Z
6386831,stoth,1983097,13,21087978,2014-03-13T19:27:10Z
6386837,sctrojan79,2601744,4,36766652,2016-01-23T22:00:06Z
6400834,d6e,4149387,8,48775986,2017-05-18T01:20:12Z
6403874,d6e,4149387,9,48775986,2017-05-18T01:21:14Z
6403883,sctrojan79,2601744,10,36766652,2016-01-23T21:59:53Z
6411908,sctrojan79,2601744,17,29866659,2015-03-31T02:40:06Z
6415868,sctrojan79,2601744,21,44503768,2016-12-19T00:16:32Z
6419177,d6e,4149387,7,48775986,2017-05-18T01:25:08Z
6430729,SierraSoleil,1870349,19,48547642,2017-05-10T01:30:57Z
6430733,sctrojan79,2601744,10,36766652,2016-01-23T22:01:37Z
6430737,sctrojan79,2601744,9,36766652,2016-01-23T22:01:36Z
6438604,sctrojan79,2601744,15,36766652,2016-01-23T22:02:10Z
6440348,SierraSoleil,1870349,15,48547642,2017-05-10T01:41:19Z
6440371,sctrojan79,2601744,7,36766652,2016-01-23T22:00:01Z
6444579,sctrojan79,2601744,13,36990401,2016-02-04T05:38:24Z
6444677,nvk,131996,15,46969092,2017-03-18T23:44:41Z
6445232,sctrojan79,2601744,4,36766652,2016-01-23T22:01:38Z
6447445,sctrojan79,2601744,10,36766652,2016-01-23T22:01:45Z
6447455,sctrojan79,2601744,22,44503768,2016-12-19T00:16:33Z
6447971,nvk,131996,10,46969173,2017-03-18T23:48:29Z
6456052,sctrojan79,2601744,8,40785282,2016-07-16T18:39:29Z
6457203,sctrojan79,2601744,38,44503768,2016-12-19T00:16:33Z
6459047,d6e,4149387,8,48775986,2017-05-18T01:26:10Z
6460085,sctrojan79,2601744,16,45152626,2017-01-14T03:04:15Z
6461453,sctrojan79,2601744,17,36990603,2016-02-04T06:19:58Z
6461456,lukobe,137875,15,32171011,2015-06-23T21:04:21Z
6462029,sctrojan79,2601744,19,36990603,2016-02-04T06:20:32Z
6463008,sctrojan79,2601744,14,36766652,2016-01-23T22:01:41Z
6463013,d6e,4149387,18,48775986,2017-05-18T01:20:39Z
6463017,d6e,4149387,13,48775986,2017-05-18T01:26:15Z
6463027,d6e,4149387,13,48775986,2017-05-18T01:24:07Z
6463035,sctrojan79,2601744,9,36766652,2016-01-23T22:01:40Z
6464042,d6e,4149387,11,48775986,2017-05-18T01:26:30Z
6464126,sctrojan79,2601744,12,36766652,2016-01-23T22:01:42Z
6464138,Johnny Mapperseed,1723055,10,40972182,2016-07-23T13:55:45Z
6469837,sctrojan79,2601744,6,36766652,2016-01-23T22:02:19Z
6474762,sctrojan79,2601744,17,36766652,2016-01-23T22:01:27Z
6475815,sctrojan79,2601744,30,44775970,2016-12-30T06:08:37Z
6476313,sctrojan79,2601744,13,36990603,2016-02-04T06:19:49Z
6476327,sctrojan79,2601744,21,36990603,2016-02-04T06:19:49Z
6479778,sctrojan79,2601744,9,48631898,2017-05-12T18:46:06Z
6481166,Omnific,1408522,10,45331224,2017-01-20T16:46:09Z
6486416,sctrojan79,2601744,8,36766652,2016-01-23T22:00:13Z
6501701,sctrojan79,2601744,7,40785282,2016-07-16T18:39:30Z
6505136,sctrojan79,2601744,19,39998958,2016-06-13T18:23:49Z
6511393,sctrojan79,2601744,10,36766652,2016-01-23T22:03:13Z
6511397,sctrojan79,2601744,14,37557664,2016-03-01T23:54:32Z
6512920,Omnific,1408522,12,45331224,2017-01-20T16:46:07Z
6513783,sctrojan79,2601744,11,36766652,2016-01-23T22:00:01Z
6521205,sctrojan79,2601744,22,48631898,2017-05-12T18:46:06Z
6522514,MikeN,135163,21,47072379,2017-03-22T16:05:44Z
8071578,sctrojan79,2601744,5,37049861,2016-02-06T21:39:19Z
8071579,sctrojan79,2601744,7,36766652,2016-01-23T22:03:13Z
8071580,lukobe,137875,10,40378482,2016-06-29T22:48:54Z
8071890,sctrojan79,2601744,9,36766652,2016-01-23T21:59:42Z
8071897,sctrojan79,2601744,4,36766652,2016-01-23T22:01:40Z
8071898,sctrojan79,2601744,18,36990603,2016-02-04T06:19:50Z
8071899,SierraSoleil,1870349,7,48683386,2017-05-14T20:43:05Z
8071900,sctrojan79,2601744,11,36766652,2016-01-23T22:01:46Z
8071925,sctrojan79,2601744,8,45152626,2017-01-14T03:04:16Z
8165734,sctrojan79,2601744,8,37049861,2016-02-06T21:39:20Z
13726934,ridixcr,2508151,21,40393415,2016-06-30T14:24:18Z
22917111,Omnific,1408522,18,40975442,2016-07-23T16:47:50Z
22917112,sctrojan79,2601744,4,36766652,2016-01-23T22:00:17Z
22917113,sctrojan79,2601744,9,36766652,2016-01-23T22:00:17Z
22917207,Johnny Mapperseed,1723055,12,40972182,2016-07-23T13:55:46Z
22917212,sctrojan79,2601744,8,41134892,2016-07-30T21:59:27Z
22917215,sctrojan79,2601744,7,36990603,2016-02-04T06:20:42Z
22917216,sctrojan79,2601744,3,36990603,2016-02-04T06:20:34Z
22917217,sctrojan79,2601744,3,36990603,2016-02-04T06:20:37Z
22917218,sctrojan79,2601744,3,36990603,2016-02-04T06:20:33Z
22917219,sctrojan79,2601744,3,36990603,2016-02-04T06:20:36Z
22917220,sctrojan79,2601744,3,36990603,2016-02-04T06:20:35Z
22917221,Omnific,1408522,4,40975442,2016-07-23T16:47:56Z
22917222,lukobe,137875,5,37004203,2016-02-04T18:22:46Z
22917223,Omnific,1408522,4,40975442,2016-07-23T16:47:56Z
22917224,sctrojan79,2601744,4,36990603,2016-02-04T06:20:09Z
22917225,sctrojan79,2601744,3,36990603,2016-02-04T06:20:34Z
22917226,sctrojan79,2601744,3,36990603,2016-02-04T06:20:42Z
22917227,sctrojan79,2601744,4,36990603,2016-02-04T06:20:33Z
22917229,sctrojan79,2601744,3,37049861,2016-02-06T21:39:07Z
22917232,sctrojan79,2601744,3,36990603,2016-02-04T06:20:36Z
22917234,ewedistrict,8609,1,84774,2008-02-09T09:30:43Z
22917235,sctrojan79,2601744,3,36990603,2016-02-04T06:20:38Z
22917236,sctrojan79,2601744,3,36990603,2016-02-04T06:20:39Z
22927969,sctrojan79,2601744,14,36990603,2016-02-04T06:20:31Z
25807777,sctrojan79,2601744,3,36990401,2016-02-04T05:38:56Z
32135548,SierraSoleil,1870349,13,48564208,2017-05-10T14:57:04Z
37046550,compdude,282329,3,18558400,2013-10-26T21:48:13Z
37546712,chronomex,414057,2,15119865,2013-02-22T07:54:53Z
37623020,Glassman,447903,2,20608524,2014-02-17T03:50:10Z
37623190,zephyr,121241,1,1812524,2009-07-13T00:03:08Z
37623694,zephyr,121241,1,1812684,2009-07-13T01:03:16Z
37686295,sctrojan79,2601744,4,37049861,2016-02-06T21:39:25Z
40416132,sctrojan79,2601744,7,44775970,2016-12-30T06:08:39Z
49734706,lukobe,137875,2,32916166,2015-07-27T18:50:40Z
49734707,Wim L,223681,1,3810608,2010-02-07T02:16:49Z
49749535,Wim L,223681,1,3812774,2010-02-07T10:54:40Z
49749536,sctrojan79,2601744,4,30001105,2015-04-05T20:44:36Z
51969306,sctrojan79,2601744,3,36990401,2016-02-04T05:39:04Z
51969308,sctrojan79,2601744,2,34216786,2015-09-23T23:46:44Z
51969309,sctrojan79,2601744,3,36990401,2016-02-04T05:38:30Z
51969310,seattlefyi,692614,3,48547559,2017-05-10T01:23:23Z
51969311,sctrojan79,2601744,2,34216786,2015-09-23T23:46:44Z
52128532,mshik3,5994656,2,48779597,2017-05-18T05:46:05Z
52128533,Wim L,223681,1,4101770,2010-03-11T21:35:11Z
52201952,Natfoot,567792,2,27282124,2014-12-06T03:22:58Z
