id,key,value,type
6341064,highway,secondary,regular
6341064,lanes,4,regular
6341064,backward,2,lanes
6341064,forward,2,lanes
6341064,maxspeed,30 mph,regular
6341064,name,East Cherry Street,regular
6341064,sidewalk,both,regular
6341064,cfcc,A41,tiger
6341064,county,"King, WA",tiger
6341064,name_base,Cherry,tiger
6341064,name_direction_prefix,E,tiger
6341064,name_type,St,tiger
6341064,zip_left,98122,tiger
6341064,zip_right,98122,tiger
6341066,highway,residential,regular
6341066,lanes,2,regular
6341066,maxspeed,25 mph,regular
6341066,name,East Cherry Street,regular
6341066,cfcc,A41,tiger
6341066,county,"King, WA",tiger
6341066,name_base,Cherry,tiger
6341066,name_direction_prefix,E,tiger
6341066,name_type,St,tiger
6341066,zip_left,98122,tiger
6341066,zip_right,98122,tiger
6341099,access,yes,regular
6341099,cycleway,no,regular
6341099,foot,yes,regular
6341099,highway,service,regular
6341099,lanes,1,regular
6341099,maxspeed,15 mph,regular
6341099,name,Broadway Court,regular
6341099,service,alley,regular
6341099,cfcc,A41,tiger
6341099,county,"King, WA",tiger
6341099,name_base,Broadway,tiger
6341099,name_type,Ct,tiger
6341099,zip_left,98122,tiger
6341099,zip_right,98122,tiger
6343890,highway,tertiary,regular
6343890,lanes,2,regular
6343890,maxspeed,30 mph,regular
6343890,name,11th Avenue,regular
6343890,oneway,yes,regular
6343890,cfcc,A41,tiger
6343890,county,"King, WA",tiger
6343890,name_base,11th,tiger
6343890,name_type,Ave,tiger
6343890,zip_left,98122,tiger
6343890,zip_right,98122,tiger
6343890,lanes,left|right,turn
6343949,highway,residential,regular
6343949,lanes,2,regular
6343949,maxspeed,25 mph,regular
6343949,name,East Olive Street,regular
6343949,surface,paved,regular
6343949,cfcc,A41,tiger
6343949,county,"King, WA",tiger
6343949,name_base,Olive,tiger
6343949,name_direction_prefix,E,tiger
6343949,name_type,St,tiger
6343949,zip_left,98122,tiger
6343949,zip_right,98122,tiger
6343952,highway,residential,regular
6343952,lanes,2,regular
6343952,maxspeed,25 mph,regular
6343952,name,East Olive Street,regular
6343952,cfcc,A41,tiger
6343952,county,"King, WA",tiger
6343952,name_base,Olive,tiger
6343952,name_direction_prefix,E,tiger
6343952,name_type,Street,tiger
6343952,zip_left,98122,tiger
6343952,zip_right,98122,tiger
6343960,highway,residential,regular
6343960,lanes,2,regular
6343960,maxspeed,25 mph,regular
6343960,name,East Olive Street,regular
6343960,oneway,yes,regular
6343960,cfcc,A41,tiger
6343960,county,"King, WA",tiger
6343960,name_base,Olive,tiger
6343960,name_direction_prefix,E,tiger
6343960,name_type,St,tiger
6343960,reviewed,no,tiger
6343960,zip_left,98122,tiger
6343960,zip_right,98122,tiger
6346524,highway,residential,regular
6346524,lanes,2,regular
6346524,maxspeed,25 mph,regular
6346524,name,11th Avenue East,regular
6346524,cfcc,A41,tiger
6346524,county,"King, WA",tiger
6346524,name_base,11th,tiger
6346524,name_direction_suffix,E,tiger
6346524,name_type,Ave,tiger
6346524,reviewed,yes,tiger
6346524,zip_left,98102,tiger
6346524,zip_right,98102,tiger
6346526,highway,residential,regular
6346526,lanes,2,regular
6346526,maxspeed,25 mph,regular
6346526,name,11th Avenue East,regular
6346526,surface,asphalt,regular
6346526,cfcc,A41,tiger
6346526,county,"King, WA",tiger
6346526,name_base,11th,tiger
6346526,name_direction_suffix,E,tiger
6346526,name_type,Ave,tiger
